2000 3400
49:0.010397 57:0.010581 65:0.010571 71:0.011489 176:0.011899 190:0.016758 191:0.022290 242:0.011516 246:0.013483 269:0.010909 290:0.042746 291:0.020820 414:0.014490 530:0.013109 543:0.023804 544:0.014978 545:0.070480 551:0.010727 665:0.010477 704:0.047143 708:0.024893 745:0.010540 756:0.015625 769:0.040535 778:0.013714 780:0.026209 787:0.012093 848:0.012503 883:0.019537 969:0.013596 970:0.014511 995:0.011471 997:0.010849 1000:0.012676 1001:0.012927 1006:0.031528 1011:0.114790 1023:0.013932 1057:0.017790 1074:0.014322 1109:0.011172 1130:0.014755 1194:0.017035 1417:0.018839 1421:0.010420 1422:0.011163 1477:0.021431 1521:0.044328 1528:0.012283 1537:0.010531 1616:0.010607 1658:0.011530 1746:0.012365 1773:0.012144 1781:0.067174 1784:0.012158 1845:0.032450 1905:0.030873 1943:0.027518 1966:0.011803 2071:0.117092 2073:0.054095 2075:0.025642 2084:0.011701 2151:0.014450 2161:0.013803 2171:0.011427 2281:0.012661 2308:0.012108 2330:0.011673 2331:0.018067 2337:0.034188 2370:0.010456 2394:0.012307 2395:0.012400 2419:0.018031 2420:0.015511 2571:0.010659 2573:0.329756 2575:0.011203 2584:0.011772 2618:0.013650 2637:0.020656 2685:0.354859 2688:0.011078 2716:0.017602 2753:0.011596 2761:0.010539 2911:0.218053 2915:0.012667 2970:0.035869 3035:0.011365 3065:0.021701 3099:0.015478 3128:0.025539 3136:0.032492 3151:0.011601 3217:0.010994 3321:0.237747 3327:0.934423
19:0.013437 46:0.047840 49:0.018627 58:0.016338 96:0.016050 116:0.023599 118:0.028226 135:0.021463 241:0.028310 275:0.017176 290:0.022978 463:0.013384 579:0.013429 699:0.017020 725:0.031726 782:0.016862 820:0.014142 861:0.013918 896:0.236295 928:0.014678 969:0.014700 1023:0.017302 1038:0.014657 1053:0.018235 1060:0.014212 1151:0.016170 1179:0.017178 1181:0.013726 1188:0.017381 1194:0.020678 1205:0.014854 1242:0.023333 1243:0.051041 1244:0.015592 1262:0.016862 1292:0.018103 1320:0.016004 1337:0.019690 1357:0.019200 1384:0.013935 1402:0.017794 1419:0.020380 1450:0.016290 1500:0.090508 1518:0.019408 1581:0.021562 1615:0.013811 1666:0.015389 1669:0.016704 1694:0.024960 1697:0.014983 1734:0.017022 1781:0.071336 1866:0.015593 1918:0.014248 1941:0.017429 1952:0.015042 1976:0.032555 2152:0.014171 2281:0.013740 2360:0.065649 2428:0.017269 2431:0.015037 2447:0.823542 2507:0.389159 2508:0.014289 2530:0.019944 2598:0.014641 2607:0.013962 2609:0.590117 2624:0.014579 2649:0.016169 2654:0.025474 2656:0.014358 2661:0.014471 2668:0.014724 2685:0.082446 2710:0.040480 2716:0.018824 2727:0.017378 2785:0.269924 2821:0.020254 2898:0.018433 2901:0.013413 2909:0.020722 2910:0.059294 3073:0.014141 3096:0.019109 3099:0.014278 3102:0.015651 3118:0.015340 3123:0.014139 3177:0.016329 3240:0.040538 3321:0.349312 3327:0.939512 3340:0.017230 3360:0.015110 3361:0.289887 3373:0.022883
28:0.012721 49:0.017793 86:0.013068 107:0.012345 159:0.011944 290:0.057098 291:0.014219 404:0.013469 418:0.018568 505:0.027405 640:0.017077 645:0.039831 745:0.013372 749:0.013300 782:0.015149 797:0.019199 826:0.017695 861:0.015607 962:0.023380 963:0.012917 969:0.031315 994:0.061000 1023:0.013248 1053:0.012333 1151:0.012066 1152:0.036088 1179:0.014686 1181:0.013249 1194:0.011835 1260:0.011588 1272:0.016291 1306:0.012388 1357:0.011893 1382:0.011805 1416:0.013792 1437:0.016321 1518:0.014345 1581:0.012198 1614:0.012762 1616:0.012241 1666:0.015517 1694:0.028905 1697:0.013886 1721:0.012786 1746:0.035802 1758:0.011751 1781:0.122370 1810:0.012327 1884:0.029707 1918:0.016378 1949:0.014623 1952:0.016169 1987:0.014442 2062:0.011425 2145:0.025618 2151:0.023621 2152:0.016263 2387:0.011483 2391:0.011431 2424:0.017325 2426:0.011920 2428:0.012364 2447:0.053221 2507:0.023479 2598:0.014688 2606:0.015831 2608:0.012974 2609:0.432655 2649:0.030266 2661:0.021675 2685:0.173356 2693:0.016547 2694:0.015319 2710:0.084771 2714:0.011490 2788:0.149681 2821:0.014435 2823:0.013822 2824:0.013107 2909:0.012652 2910:0.031055 2942:0.011523 2955:0.015134 3073:0.014888 3079:0.020404 3096:0.042441 3099:0.024144 3103:0.029023 3105:0.016051 3118:0.017731 3123:0.023552 3124:0.012144 3128:0.020801 3151:0.013625 3164:0.012325 3240:0.015711 3321:0.183151 3327:0.987665 3360:0.014624 3361:0.021268
19:0.015176 28:0.011232 30:0.013479 49:0.017459 57:0.010857 65:0.013326 97:0.011772 107:0.011034 162:0.012850 184:0.015196 195:0.011363 228:0.011991 234:0.019381 241:0.013038 269:0.016906 284:0.046037 290:0.051254 344:0.015014 362:0.014157 438:0.016220 483:0.014391 491:0.027644 680:0.011574 782:0.010831 859:0.010923 861:0.011371 896:0.085306 955:0.012544 1023:0.015187 1130:0.013383 1194:0.028706 1205:0.024897 1261:0.012461 1294:0.012566 1297:0.013232 1319:0.013054 1370:0.023728 1437:0.011684 1505:0.010859 1527:0.011273 1552:0.012300 1616:0.011207 1627:0.129847 1650:0.014999 1694:0.022187 1697:0.011396 1726:0.012721 1742:0.013150 1746:0.017980 1758:0.029362 1781:0.063786 1836:0.010820 1949:0.013071 1976:0.047765 2021:0.012149 2151:0.021135 2152:0.011316 2223:0.014952 2226:0.020682 2227:0.095916 2228:0.010826 2315:0.014927 2387:0.010874 2389:0.013042 2417:0.032458 2584:0.012362 2625:0.016788 2637:0.015678 2649:0.019337 2654:0.020988 2685:0.167505 2710:0.125280 2716:0.016711 2798:0.012313 2849:0.011111 2978:0.015683 2979:0.020164 3009:0.010974 3028:0.015170 3048:0.011077 3073:0.014774 3078:0.015221 3091:0.011145 3099:0.013097 3116:0.010984 3118:0.016365 3123:0.015671 3124:0.011770 3128:0.016943 3151:0.011709 3217:0.013841 3321:0.662731 3327:0.860469 3333:0.014601 3340:0.017564 3361:0.024757 3362:0.013437 3369:0.011694 3373:0.056193 3374:0.016704
65:0.036471 119:0.021763 124:0.033251 172:0.022113 218:0.036360 266:0.109371 268:0.505012 290:0.027997 291:0.034704 366:0.033353 455:0.022646 503:0.115661 537:0.915801 543:0.039236 544:0.021795 545:0.076915 576:0.173179 704:0.021904 708:0.025606 712:0.022306 715:0.037591 769:0.024672 782:0.095355 808:0.043543 815:0.024442 840:0.031873 883:0.038386 917:0.021808 934:0.025936 969:0.083314 970:0.058397 994:0.195659 1011:0.313701 1152:0.026737 1207:0.092967 1211:0.023966 1255:0.023513 1411:0.024465 1518:0.032094 1561:0.022427 1683:0.031440 1775:0.046810 1827:0.067750 1837:0.038724 1845:0.081661 1853:0.032283 1854:0.031439 1882:0.021530 1884:0.032405 1919:0.027912 1922:0.032947 1943:0.030165 1951:0.024625 2033:0.741486 2104:0.327081 2120:0.024193 2121:0.046178 2122:0.022911 2160:0.121325 2161:0.047338 2194:0.035226 2281:0.032584 2344:0.025060 2354:0.028969 2355:0.039244 2438:0.023166 2442:0.046547 2478:0.042344 2481:0.091031 2534:0.029785 2554:0.042354 2557:0.079223 2564:0.027595 2569:0.032053 2573:0.366019 2579:0.026664 2582:0.129477 2584:0.023200 2662:0.021552 2684:0.028934 2685:0.607448 2710:0.112165 2716:0.028826 2735:0.024990 2756:0.024625 2911:0.051829 2912:0.021997 2975:0.033840 2976:0.030037 2983:0.045771 2984:0.035251 3055:0.025229 3099:0.029530 3160:0.026404 3226:0.053554 3237:0.061215 3321:0.349690 3327:0.962007 3363:0.261062 3364:0.037469
25:0.020885 33:0.020600 65:0.015933 108:0.019495 148:0.020600 149:0.016562 254:0.015392 268:0.026242 291:0.045789 384:0.025741 386:0.015681 461:0.029661 495:0.015708 522:0.034473 543:0.022724 544:0.015341 545:0.039933 546:0.018690 663:0.019489 682:0.025774 696:0.018431 704:0.020898 738:0.023207 739:0.017039 740:0.023211 749:0.016140 769:0.132045 777:0.030003 780:0.016173 787:0.031013 1011:0.046628 1057:0.020171 1074:0.015537 1086:0.016222 1130:0.016024 1186:0.018658 1187:0.020613 1193:0.015467 1194:0.019282 1324:0.029300 1328:0.028139 1418:0.017566 1522:0.018084 1637:0.030147 1744:0.029815 1781:0.027962 1784:0.020027 1801:0.018532 1827:0.040672 1873:0.017856 1955:0.021700 1964:0.289386 2133:0.096202 2240:0.015406 2257:0.019000 2260:0.124829 2261:0.040544 2274:0.017281 2337:0.023907 2339:0.027846 2340:0.017148 2341:0.023165 2342:0.022053 2343:0.021005 2361:0.118533 2364:0.018482 2419:0.020664 2522:0.018660 2573:0.412734 2592:0.042401 2685:0.202462 2818:0.079670 2843:0.024629 2858:0.031271 2911:0.349922 2918:0.020713 2956:0.017861 3034:0.087922 3035:0.027767 3036:0.017913 3060:0.015464 3061:0.017860 3065:0.022982 3067:0.023572 3077:0.015669 3108:0.016301 3136:0.036204 3151:0.041281 3216:0.143428 3235:0.015895 3262:0.018046 3263:0.033800 3268:0.026633 3273:0.027539 3274:0.034283 3321:0.174333 3327:0.884989 3347:0.018287 3349:0.018226 3350:0.284096
19:0.015684 23:0.019809 46:0.023458 57:0.015484 65:0.021998 90:0.018048 256:0.016390 266:0.022244 268:0.152909 284:0.634612 285:0.020508 286:0.017596 287:0.016463 288:0.052859 289:0.024186 290:0.041613 291:0.017594 300:0.107859 301:0.109846 302:0.022067 341:0.027320 344:0.032134 354:0.017362 400:0.019995 433:0.015394 438:0.036931 491:0.045900 539:0.025604 630:0.016803 676:0.019052 782:0.019482 813:0.022356 826:0.022038 859:0.023882 896:0.017361 913:0.017189 994:0.121933 996:0.015767 998:0.026907 999:0.021702 1023:0.030956 1027:0.016345 1111:0.015952 1194:0.064609 1236:0.035320 1413:0.022378 1423:0.072146 1437:0.015791 1446:0.032146 1491:0.015204 1512:0.016964 1614:0.023045 1627:0.273375 1654:0.017771 1707:0.029003 1758:0.050497 1763:0.015882 1781:0.065016 1829:0.015346 1834:0.017432 1855:0.022769 1877:0.040031 1881:0.029947 1976:0.229447 1994:0.018458 2000:0.059423 2151:0.028910 2164:0.025317 2165:0.026459 2202:0.015494 2281:0.121784 2360:0.017479 2377:0.015969 2378:0.016572 2379:0.035634 2380:0.017729 2392:0.032773 2417:0.166028 2454:0.021801 2455:0.019091 2470:0.015793 2493:0.016431 2495:0.023661 2496:0.027288 2497:0.017062 2525:0.016225 2637:0.072618 2657:0.024242 2685:0.027373 2714:0.041294 2809:0.021221 3018:0.021432 3099:0.024440 3118:0.032828 3312:0.027223 3321:0.108012 3327:0.634130 3358:0.019279 3371:0.020825 3374:0.018406
30:0.029122 49:0.016442 56:0.103070 58:0.016998 110:0.011939 116:0.013162 118:0.012461 135:0.017474 159:0.013644 220:0.012101 241:0.012208 269:0.012920 290:0.022432 291:0.139795 304:0.013633 378:0.050520 379:0.022968 404:0.011762 438:0.028448 455:0.034956 463:0.012895 491:0.011263 537:0.048585 542:0.011496 569:0.011749 624:0.023329 725:0.011756 818:0.011415 896:0.033970 928:0.012281 966:0.011687 972:0.013419 1141:0.228099 1145:0.119696 1152:0.016004 1188:0.012597 1194:0.013670 1211:0.049549 1212:0.092750 1236:0.011898 1242:0.011764 1243:0.014866 1261:0.012276 1262:0.012702 1272:0.011550 1295:0.011744 1344:0.025890 1516:0.012522 1536:0.011584 1616:0.014937 1627:0.064450 1666:0.017494 1697:0.017399 1742:0.020048 1746:0.016369 1786:0.014266 1855:0.012884 1859:0.011364 1867:0.090842 1884:0.011911 1913:0.013808 2033:0.064766 2152:0.012947 2168:0.011302 2271:0.012747 2282:0.087934 2285:0.013610 2356:0.011856 2385:0.012754 2417:0.109816 2421:0.030203 2429:0.012811 2501:0.013215 2507:0.097321 2531:0.071880 2551:0.082093 2630:0.012034 2649:0.016062 2660:0.013562 2685:0.043226 2710:0.082655 2785:0.020936 2898:0.186171 2909:0.165228 2910:0.015407 2996:0.015436 3078:0.012352 3099:0.011501 3102:0.011591 3118:0.013102 3123:0.011523 3128:0.013737 3151:0.011529 3209:0.012086 3217:0.011978 3321:0.131971 3327:0.906978 3340:0.016666 3363:0.024293 3370:0.011433
19:0.017407 28:0.014378 49:0.013452 58:0.017248 135:0.031767 179:0.011923 211:0.019270 212:0.015633 220:0.016090 222:0.012760 290:0.032428 291:0.011875 304:0.013834 344:0.018302 362:0.016925 438:0.061161 463:0.036016 491:0.069935 539:0.020433 784:0.017385 800:0.019458 818:0.011666 826:0.013307 836:0.011583 861:0.017726 896:0.106521 919:0.017825 953:0.013437 978:0.021665 1130:0.012067 1163:0.014745 1164:0.013474 1194:0.149608 1228:0.012404 1242:0.020836 1419:0.014447 1437:0.111451 1487:0.011704 1605:0.016844 1616:0.011881 1627:0.309429 1667:0.025223 1698:0.018667 1725:0.024078 1726:0.013304 1758:0.037929 1781:0.039258 1786:0.013660 1855:0.015133 1859:0.014539 1868:0.019388 1912:0.014537 1937:0.012657 1939:0.021306 1940:0.013083 1941:0.018450 1982:0.011516 2271:0.018775 2315:0.017340 2384:0.012367 2417:0.432353 2421:0.040092 2470:0.013701 2501:0.013944 2505:0.016538 2506:0.021218 2507:0.358256 2508:0.033019 2512:0.012535 2547:0.019360 2584:0.013947 2628:0.015738 2630:0.022024 2631:0.014764 2637:0.013491 2654:0.024419 2658:0.012757 2661:0.015231 2685:0.248837 2929:0.022442 2979:0.011827 2992:0.014900 3072:0.011507 3073:0.020434 3099:0.013945 3128:0.020744 3151:0.012053 3168:0.020501 3187:0.019953 3209:0.016161 3225:0.066589 3286:0.014480 3293:0.019213 3321:0.412989 3327:0.979496 3333:0.011887 3340:0.012230 3358:0.016264 3370:0.014244 3374:0.017693
10:0.013197 19:0.012279 22:0.011269 49:0.016902 57:0.019374 58:0.014251 63:0.011332 65:0.029003 156:0.011158 228:0.010714 235:0.034871 236:0.012838 262:0.013614 268:0.013686 269:0.022784 270:0.010799 290:0.014513 291:0.011962 453:0.028846 474:0.021496 476:0.019507 540:0.017573 582:0.011780 590:0.012748 657:0.012787 755:0.011065 802:0.021621 826:0.022466 831:0.010937 861:0.011386 919:0.020983 991:0.012504 1023:0.011467 1107:0.012401 1169:0.014979 1194:0.054683 1209:0.016759 1330:0.062550 1334:0.029798 1408:0.036846 1417:0.072501 1437:0.014261 1461:0.518254 1464:0.021493 1466:0.024704 1467:0.579830 1469:0.099896 1509:0.016078 1616:0.011655 1637:0.011256 1725:0.012184 1778:0.021299 1781:0.031799 1849:0.014542 1863:0.012778 1967:0.016821 1970:0.012429 2090:0.022037 2118:0.012496 2151:0.012401 2152:0.011685 2157:0.013203 2186:0.011228 2187:0.032659 2278:0.300809 2471:0.011797 2491:0.011031 2573:0.012334 2637:0.015115 2641:0.018416 2685:0.095767 2710:0.036726 2719:0.027307 2721:0.014702 2761:0.012401 2816:0.029748 2927:0.011061 3044:0.012753 3065:0.048687 3066:0.015583 3078:0.026232 3099:0.012735 3118:0.012697 3123:0.014244 3128:0.011741 3151:0.012100 3187:0.014829 3242:0.018790 3246:0.011236 3253:0.115384 3254:0.043027 3255:0.014860 3256:0.151229 3264:0.016990 3319:0.273609 3321:0.582803 3327:0.907740 3354:0.062836 3382:0.011679 3388:0.014508
49:0.022194 116:0.030132 118:0.030891 174:0.028637 204:0.037391 241:0.024157 268:0.024840 269:0.026213 291:0.027294 327:0.025621 341:0.029565 344:0.025734 406:0.021485 419:0.022271 491:0.114968 493:0.020500 526:0.021383 591:0.024708 649:0.042376 650:0.162971 702:0.021540 785:0.023941 797:0.133166 861:0.049819 896:0.025747 1151:0.021624 1179:0.028506 1181:0.023935 1233:0.027391 1234:0.069888 1243:0.028380 1262:0.125637 1269:0.026802 1271:0.022744 1289:0.028823 1299:0.026721 1503:0.032639 1504:0.048441 1519:0.020886 1525:0.023982 1581:0.094858 1627:0.633730 1666:0.024551 1694:0.029513 1697:0.021775 1717:0.021253 1848:0.025014 1851:0.020514 1909:0.062349 1922:0.024880 1926:0.024883 1949:0.026841 1952:0.033931 1987:0.021346 2117:0.027322 2119:0.037655 2145:0.026091 2152:0.022236 2176:0.023293 2225:0.044478 2250:0.020710 2275:0.028318 2281:0.027991 2294:0.046644 2417:0.055834 2424:0.116240 2426:0.029148 2428:0.038742 2444:0.024719 2445:0.022528 2447:0.997196 2578:0.022334 2597:0.040492 2598:0.021391 2609:0.083123 2649:0.208819 2654:0.033534 2668:0.027917 2696:0.520120 2699:0.020705 2710:0.107782 2714:0.025910 2785:0.021283 2788:0.285738 2791:0.020547 2821:0.080339 2910:0.028669 2947:0.023240 2948:0.209982 2949:0.257826 3094:0.028553 3096:0.397725 3103:0.023250 3105:0.023313 3118:0.038111 3123:0.027409 3240:0.028476 3321:0.461069 3327:0.944061 3371:0.023619
